BrandName,Product_ID,Product_Name,Category,MRP (Rs.),SellPrice (Rs.),Discount_Percentage %,Product_Desc
4711,FR001,Cologne Fragrance,Fragrance,3900.0,3120.0,20,ekw eau de cologne 400 ml
109f,DRW1,DRW1 - Westernwear-Women,Westernwear,1899.0,569.0,70,womens v- neck short dress - yellow
109f,DRW2,DRW2 - Westernwear-Women,Westernwear,1499.0,599.0,60,womens round neck solid top - black
109f,DRW3,DRW3 - Westernwear-Women,Westernwear,1599.0,639.0,60,womens round neck stripe shift dress - red
109f,DRW4,DRW4 - Westernwear-Women,Westernwear,1199.0,479.0,60,womens round neck solid high low top - black
109f,DRW5,DRW5 - Westernwear-Women,Westernwear,1199.0,479.0,60,womens v-neck solid top - black
109f,DRW6,DRW6 - Westernwear-Women,Westernwear,1299.0,519.0,60,womens off shoulder neck checked top - navy
109f,DRW7,DRW7 - Westernwear-Women,Westernwear,1499.0,599.0,60,womens v neck checked top - black
109f,DRW8,DRW8 - Westernwear-Women,Westernwear,1799.0,719.0,60,womens round neck solid shift dress - black
109f,DRW9,DRW9 - Westernwear-Women,Westernwear,999.0,399.0,60,womens round neck solid top - black
109f,DRW10,DRW10 - Westernwear-Women,Westernwear,1299.0,519.0,60,womens spaghetti neck printed top - natural
109f,DRW11,DRW11 - Westernwear-Women,Westernwear,2499.0,999.0,60,womens round neck embroidered top - black
109f,DRW12,DRW12 - Westernwear-Women,Westernwear,3499.0,1399.0,60,womens mandarin collar solid eyelet skater dress - green
109f,DRW13,DRW13 - Westernwear-Women,Westernwear,1799.0,539.0,70,womens off shoulder solid shift dress - blue
109f,DRW14,DRW14 - Westernwear-Women,Westernwear,1999.0,799.0,60,womens round neck embroidered top - cream
109f,DRW15,DRW15 - Westernwear-Women,Westernwear,1899.0,759.0,60,womens 2 pocket solid pants - navy
109f,DRW16,DRW16 - Westernwear-Women,Westernwear,1499.0,599.0,60,womens ruffled collar self printed top - natural
109f,DRW17,DRW17 - Westernwear-Women,Westernwear,1199.0,479.0,60,womens round neck solid top - birch
109f,DRW18,DRW18 - Westernwear-Women,Westernwear,1999.0,799.0,60,womens round neck solid knee length dress - black
109f,DRW19,DRW19 - Westernwear-Women,Westernwear,1799.0,719.0,60,womens scoop neck lace top - dark brown
109f,DRW20,DRW20 - Westernwear-Women,Westernwear,2418.9,2199.0,10,printed polyester cowl neck womens dress - multi
109f,DRW21,DRW21 - Westernwear-Women,Westernwear,1868.9,1699.0,10,printed rayon round neck womens top - print
109f,DRW22,DRW22 - Westernwear-Women,Westernwear,2899.0,1159.0,60,womens round neck textured maxi dress - black
109f,DRW23,DRW23 - Westernwear-Women,Westernwear,1648.9,1499.0,10,solid polyester halter neck womens top - olive
109f,DRW24,DRW24 - Westernwear-Women,Westernwear,1978.9,1799.0,10,womens tie up neck embroidered top - black
109f,DRW25,DRW25 - Westernwear-Women,Westernwear,1499.0,599.0,60,womens 2 pocket solid trousers - green
109f,DRW26,DRW26 - Westernwear-Women,Westernwear,1499.0,599.0,60,womens off shoulder neck embroidered top - blue
109f,DRW27,DRW27 - Westernwear-Women,Westernwear,2399.0,959.0,60,womens peter pan collar solid a-line dress - black
109f,DRW28,DRW28 - Westernwear-Women,Westernwear,2499.0,999.0,60,womens embroidered casual skirt - grey
109f,DRW29,DRW29 - Westernwear-Women,Westernwear,1799.0,719.0,60,womens open front neck slub long shrug - grey
109f,DRW30,DRW30 - Westernwear-Women,Westernwear,1599.0,639.0,60,womens mandarin collar striped long shirt - lime green
109f,DRW31,DRW31 - Westernwear-Women,Westernwear,1758.9,1599.0,10,stripes shirt collar rayon womens casual shirt - off white
109f,DRW32,DRW32 - Westernwear-Women,Westernwear,2299.0,919.0,60,womens cold shoulder sleeves self pattern top - birch
109f,DRW33,DRW33 - Westernwear-Women,Westernwear,2499.0,999.0,60,womens strappy neck printed maxi dress - black
109f,DRW34,DRW34 - Westernwear-Women,Westernwear,2748.9,2499.0,10,printed polyester round neck womens sweatshirt - maroon
109f,DRW35,DRW35 - Westernwear-Women,Westernwear,2499.0,999.0,60,womens mandarin neck solid knee length dress - black
109f,DRW36,DRW36 - Westernwear-Women,Westernwear,1799.0,719.0,60,womens round neck floral print tunic - yellow
109f,DRW37,DRW37 - Westernwear-Women,Westernwear,999.0,399.0,60,womens off shoulder stripe embroidered top - red
109f,DRW38,DRW38 - Westernwear-Women,Westernwear,2899.0,1159.0,60,womens 5 pocket solid pants - navy
109f,DRW39,DRW39 - Westernwear-Women,Westernwear,1999.0,799.0,60,womens round neck solid jumpsuit - dark brown
109f,DRW40,DRW40 - Westernwear-Women,Westernwear,1428.9,1299.0,10,womens one shoulder printed top - multi
109f,DRW41,DRW41 - Westernwear-Women,Westernwear,999.0,399.0,60,womens round neck textured top - green
109f,DRW42,DRW42 - Westernwear-Women,Westernwear,1199.0,479.0,60,womens collared stripe top - black
109f,DRW43,DRW43 - Westernwear-Women,Westernwear,1699.0,679.0,60,womens off shoulder embroidered top - cream
109f,DRW44,DRW44 - Westernwear-Women,Westernwear,2199.0,879.0,60,womens floral print empire waist dress - grey
109f,DRW45,DRW45 - Westernwear-Women,Westernwear,1499.0,599.0,60,womens round neck slub top - grey
109f,DRW46,DRW46 - Westernwear-Women,Westernwear,1799.0,719.0,60,womens round neck lace top - pink
109f,DRW47,DRW47 - Westernwear-Women,Westernwear,1199.0,479.0,60,womens round neck solid top - natural
109f,DRW48,DRW48 - Westernwear-Women,Westernwear,1499.0,599.0,60,womens embroidered casual shirt - cream
109f,DRW49,DRW49 - Westernwear-Women,Westernwear,1868.9,1699.0,10,solid shirt collar polyester womens top - purple
109f,DRW50,DRW50 - Westernwear-Women,Westernwear,1699.0,679.0,60,womens mandarin neck printed shirt - black
109f,DRW51,DRW51 - Westernwear-Women,Westernwear,1499.0,599.0,60,womens round neck solid top - blush
109f,DRW52,DRW52 - Westernwear-Women,Westernwear,1599.0,639.0,60,womens tie up neck floral print top - black
109f,DRW53,DRW53 - Westernwear-Women,Westernwear,1399.0,559.0,60,womens round neck slub embroidered peplum top - grey
109f,DRW54,DRW54 - Westernwear-Women,Westernwear,2418.9,2199.0,10,solid polyester round neck womens dress - maroon
